split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,noise_pattern_pred,injected_noise,oof_folds_ok,dataset,model,rep,task_model,task_dataset,task_rep,task_strategy
train_oof,quantile,0.6,1,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,2,caco2,NGBoost,pdv,ngboost,caco2,pdv,quantile
test,quantile,0.6,1,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,caco2,NGBoost,pdv,ngboost,caco2,pdv,quantile
train_oof,quantile,0.6,1,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,2,caco2,NGBoost,pdv,ngboost,caco2,pdv,quantile
test,quantile,0.6,1,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,caco2,NGBoost,pdv,ngboost,caco2,pdv,quantile
train_oof,quantile,0.6,1,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,2,caco2,NGBoost,pdv,ngboost,caco2,pdv,quantile
test,legacy,0.0,0,0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,0,0,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,0,1,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,0,1,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,0,2,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,0,2,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,0,3,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,0,3,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,0,4,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,0,4,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,0,0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,0,0,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,0,1,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,0,1,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,0,2,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,0,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,0,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,0,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,0,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,0,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,1,0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,1,0,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,1,1,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,1,1,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,1,2,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,1,2,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,1,3,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,1,3,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.0,1,4,1.0,1.0,0.3,0.0,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,1,4,1.0,1.0,0.4,0.0,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,1,0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,1,0,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,1,1,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,1,1,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,1,2,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,1,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,1,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,1,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,legacy,0.6,1,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,1,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,,logd,QRF,ecfp4,qrf,logd,ecfp4,legacy
test,outlier,0.0,0,0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,0,0,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,0,1,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,0,1,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,0,2,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,0,2,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,0,3,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,0,3,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,0,4,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,0,4,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,0,0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,0,0,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,0,1,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,0,1,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,0,2,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,0,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,0,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,0,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,0,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,0,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,1,0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,1,0,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,1,1,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,1,1,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,1,2,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,1,2,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,1,3,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,1,3,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.0,1,4,1.0,1.0,0.3,0.0,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.0,1,4,1.0,1.0,0.4,0.0,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,1,0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,1,0,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,1,1,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,1,1,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,1,2,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,1,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,1,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,1,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
test,outlier,0.6,1,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,-1,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
train_oof,outlier,0.6,1,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,5,logd,QRF,ecfp4,qrf,logd,ecfp4,outlier
