split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,injected_noise,dataset,model,rep,_task_model,_task_dataset,_task_rep,_task_strategy,_source
test,legacy,0.0,1,25,-0.6336175374724308,0.31955013121703857,-0.9973825961044204,0.6525186329524205,-0.45352379774722507,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,26,1.064640113557388,1.209691531853747,-1.1787235704695076,-1.2338508272978486,-1.2391264333788155,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,27,-0.47543111987098824,0.914781223461666,-0.7916076174623548,-1.061212853985726,-1.3461350189019081,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,28,0.6467466056272118,0.7501408737435145,1.3255997153680246,-1.5019123519624797,0.04943581224988889,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,29,-0.18277652111272405,0.0017746282371308793,-0.11348033765649589,2.038854895825313,-0.10929027522597702,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,30,-0.11427687197379985,0.9946513542069225,0.14006786692166437,-2.169432298466027,0.10032761341866953,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,31,1.0981455918124405,0.8960809811831346,-1.5955751158183604,-0.22041651627611183,0.5291834536171998,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,32,-0.8526947030997051,-0.3208642196784942,0.2230045390684794,1.1575352013681293,-0.22993820157297482,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,33,1.4410865386191707,0.13468911211723655,-1.0591875885990212,-1.2858934384617402,0.46102101730129064,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,34,-0.23217582524269267,1.1218193266828977,0.19947163030682116,0.2691612569433802,0.4630747989818093,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,35,-0.18987275613888574,-0.7584359194174785,-0.3615157217431268,1.897878039882217,0.43437894112927966,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,36,0.2693133878917063,0.7021764879889909,0.06752558970801,-0.04330022180634362,-0.5445334607200667,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,37,1.119195430053183,-0.05320718156232762,0.6367840134051376,-0.16749407889748918,-0.8212780609741304,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,38,-1.6925179153934804,-2.127346853214265,-0.5556511628426719,1.6053225732402534,-1.032571565371907,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,39,-0.9332672381915842,0.7968457548653506,0.1171932283194992,0.37391660213974776,2.266601651707805,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,40,-0.4895727630910675,0.19698821802373792,-0.13106514332984495,-1.4421988681589006,-0.7101382246984164,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,41,0.7223465952262292,2.560828814121666,-3.216103461482377,-0.4569309935869616,0.743993658321502,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,42,-1.0406044772501137,-0.10353034631969163,0.3819743459585944,1.314324855640778,1.341050355467284,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,43,0.6856476009360779,1.208988296505306,1.3601413456243614,1.8582259392972864,0.6651128488325265,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,44,-2.61811191888642,-0.12295414974292367,0.5053437377547577,0.7606487956105209,0.7348320151650788,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,45,-0.18969624424290002,-0.46237976089322036,0.967980973310144,-1.0464557733607336,1.7003486378402848,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,4,46,-1.2208361353447121,-1.7769047236062192,-0.15805102626572154,-1.5300273745227089,-0.011149355423388723,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,47,0.7715754984916471,-0.1090878649418607,1.146387045556672,-0.42006511138872565,-0.9862693483709531,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,48,-1.3624930335074479,0.931602650055313,0.7914188822531452,-1.0694339772556367,0.41290103217599183,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,49,0.9176218285727749,1.8551291967956147,-0.7178857969733432,0.6005035883309204,-0.38688040875206214,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,50,0.2781690908932935,1.5204154553723717,1.3811687681885028,-0.46201874338034854,-0.8661188267775451,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,51,1.831876535855109,0.2650461654216404,-1.4538222673411825,-0.642460937050871,-0.9758746062571042,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,52,-0.17003684198980318,-0.23679446568165083,0.7185670777102312,1.5314763408723004,1.3920366545101057,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,53,1.3832491499985478,0.11806938262897562,0.8398687949232471,0.5783298641942684,-0.3846596429286699,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,54,-1.4871828912467766,-0.19592146563684462,0.30549977028707104,-0.7458545390444384,-1.458299678327398,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,55,-1.0281694828988337,-1.312181432373512,-0.8733667720589929,-2.0855873978709765,1.083213789676518,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,56,-1.5276959006951893,-0.9462039061878565,0.5253174595217988,0.6861530352995706,-0.1681603514824272,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,57,-0.5885850474271805,-1.035170887627436,-0.3851234826809312,-0.14691975763753579,0.5831941459846424,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,58,-0.9672951206552051,0.7447066412330885,-1.1581921458621844,0.33620516950851903,-1.6263185984857904,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,59,1.3622321081593503,-0.24292455618329453,-1.0215205214748746,0.7453672477656355,0.8021621388843988,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,60,-1.836382970669139,0.19588525320256187,-0.1345297968714607,1.0495766791915027,-0.7271012549276373,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,61,0.5187836954145103,-1.2721919369729657,-0.8152183340891034,-0.388566579973912,-0.5298113903534613,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,2,62,0.3651150914239548,0.6664356513554919,-0.18325973681530128,-2.031777310272999,-0.03663089226195641,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,63,-0.31603351869231183,0.5712798128100831,-0.37331752177751065,0.5107554334867404,-0.5753019459980772,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,64,0.2960887693518384,0.7738823219554672,1.2612026438413295,-0.46775954069591,-0.25961880413863087,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,65,0.5730726566602132,-0.48376134667063236,0.34255697718277084,0.8350092614271907,0.7568130477195641,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,66,-1.9893490120675124,-0.4935743554680148,-0.0646764241565005,0.20084159869361215,-0.106520669991553,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,67,-2.2217247438544576,-0.49296098121067294,-0.5548618869380922,0.7642169163390019,-0.9053618031848468,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,68,-1.9776963065672817,0.5552136613076243,0.031171694837673552,-1.2938112147553171,-0.6689906619989952,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,69,0.19626405111586734,0.6774806059761103,-1.012996293110955,-1.5526639694514497,0.3450662833286152,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,70,-1.2555608139064072,-0.5347345368762842,1.4583585222966247,-0.32046721225791874,0.17102727984085053,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,71,-0.5585071468647311,0.23160846560893025,-1.1655125207607846,0.03846658439864138,-0.22464529790641977,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,72,-0.23781593073999285,1.9563592893002124,-1.719510671237226,0.31784940271641093,-1.1045474650031226,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,73,0.36001777153305026,0.2665972444100529,-0.929223218513071,0.22902576338076278,-0.07046262097965564,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,74,-1.0667932700385405,1.0426557554793472,0.13262794569802877,-1.3152138993937295,1.3634976603725155,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,75,-0.0079879314179221,-1.6542599171762973,-0.5511973144778488,-1.4404481247175198,0.8335525165733738,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,76,-1.5109173812598242,0.703767698986457,-0.14103048270045734,1.2992638501128635,-0.07138121707899944,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,77,0.9369119975042673,-1.4768984876228608,-0.7666379600396499,-0.6165880098514371,-0.26251811601448105,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,78,1.2882881594079512,1.3022218245272517,-0.31139839412611586,-2.183451426238685,-0.2664754376899456,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,79,-1.2174718180098856,0.47549370216486775,0.48799547282637756,-0.34190870183516425,0.39991219039393555,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,80,-0.2909668170471811,-1.3619868948340257,-0.3941514558793039,-1.131883122160091,-0.3251819798222954,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,81,2.8492593345356463,-1.2271390996323017,0.6229475075569431,0.21764551835675813,2.012770878396612,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,82,-0.7236053639496334,0.19429523691204342,-0.3809758782660741,-0.06581828704131693,-0.9381274496649781,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,83,0.04838038702501711,0.32902520172063254,-0.22269450513204436,1.396726180723345,-0.8682294189444523,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,84,1.0830250946168902,0.37009241196219006,-0.04500106476725288,-1.6661811810205736,1.7591637086690914,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,85,-0.8536630076696968,0.30064442597057717,-0.05258323261354044,0.3109680596390114,-1.6097726484606343,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,86,-0.6978252189111848,1.3241351356478315,0.9078195348306292,-0.7169724552554912,-1.586334650983194,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,87,-0.23288841524230064,-1.1261514139668969,-0.3895557645725862,1.489567547391201,-0.41054926759643173,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,88,1.0126359385194756,0.22953467060331303,-0.16291482784912742,0.7859458113681627,-0.6976270734137798,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,89,0.8708857264320548,-1.8810928725488487,-1.3523030854750717,0.7145129909464695,1.4575870735839185,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,90,-1.389989795513066,-2.8215126524862923,0.32526778394557737,1.1114107805731726,-1.022222644037786,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,91,0.6763161033158619,0.37072294269274775,1.1782573273479295,0.5049186658973374,2.1638067708556434,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,92,1.180140444741193,0.334298662121851,-1.0286028028422085,-0.45744960007144314,0.2894572301362699,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,93,-2.700020062285651,0.0810562856965463,-0.8783924077835947,0.6752560341091695,-2.1473091960986106,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,94,2.6537722059725586,0.39360433317070376,1.3966116147819736,-1.1284468475383573,1.1666317675673255,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,95,-0.19016936330476178,-0.45394937106412625,0.638699499743262,0.6327209061241562,-0.6916340145264029,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,96,-1.6212437110905786,0.4678941584890718,0.2946457578696433,0.06773663619611235,-1.5868834858431504,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
