model,rep,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
rf,mhggnn,-0.18343548492717288,-0.3343875700268707,-0.10470113488155672,-0.284114223990704,-0.6562609110637116,-0.5841418792715858,-0.35784020069360034,0.21943076682760976
xgboost,morgan,-0.18121185031804177,-0.3317349377003583,-0.11404347202994605,-0.2946980281309648,-0.6533397826281462,-0.5843541651061087,-0.3598970393189276,0.21628963602629933
svm,smiles,-0.1905884274831806,-0.3436477797289438,-0.09647004173387051,-0.26992912719965745,-0.6672857667710399,-0.5960328137568326,-0.36065899277892083,0.2265665037212322
svm,sns,,-0.3556232233769808,-0.1025444249314749,-0.2879975716261067,-0.6965646100364945,,-0.36068245749276423,0.2481671162310526
svm,ecfp4,-0.18519656817704375,-0.33915548919110805,-0.1043343262881888,-0.2809054838766023,-0.6661104841265499,-0.592622074138784,-0.3613874042997128,0.22379308350703297
dnn_vbll,smiles,-0.19327405673084835,-0.34368860559030007,-0.12311226779764355,-0.31048798777840364,-0.6294616303660653,-0.5746585826681118,-0.3624471884885621,0.20262417611549383
svm,morgan,-0.19049940225903805,-0.34265132639503904,-0.09818682440045776,-0.2821477446896438,-0.6706099570542221,-0.5980087036459086,-0.3636839930740516,0.2265761678939046
lgb,sns,-0.18565869732210444,-0.3338666676584365,-0.10949291987283287,-0.29513876901577246,-0.6724796702896766,-0.5947633249144448,-0.3652333415122113,0.2238891034625214
lgb,morgan,-0.18446764836057492,-0.3390026371166213,-0.10943205411135269,-0.29815299007529894,-0.6731023937333208,-0.5976705882355432,-0.36697138527211864,0.22453982277613738
lgb,ecfp4,-0.1777430719212117,-0.33915649974967904,-0.11655794546015213,-0.30435867632842056,-0.6741922756020136,-0.595964440497683,-0.3679954849265266,0.22361773932584322
xgboost,ecfp4,-0.18117181116884407,-0.3388684875736332,-0.12340025131148522,-0.30498878489239045,-0.6746127216395361,-0.5859786037242773,-0.36817011005169437,0.2195808400449414
mlp_bnn_full,pdv,-0.1924205353163709,-0.3474375686862251,-0.12105407985773958,-0.30241520838304004,-0.6587760004130278,-0.5908763396318513,-0.3688299553813758,0.21482785042668476
mlp_vbll,smiles,-0.2077236067165028,-0.35327098857272743,-0.1198922309008512,-0.3130654564409545,-0.6472792317168881,-0.5796722731204949,-0.3701506312447365,0.20652119715557324
mlp,mol2vec,-0.1766395789655772,-0.3438251313386542,-0.12615979530594568,-0.29071449631392354,-0.6564967242154208,-0.6318677540379342,-0.370950580029576,0.22559578217188558
dnn_bnn_full,pdv,-0.18789999165920296,-0.3398044326088645,-0.15084152492609892,-0.3010770429264416,-0.6571050855246457,-0.5891525168009478,-0.37098009907436696,0.20847272662168673
mlp_vbll,pdv,-0.19651040001349016,-0.3463371309367093,-0.11759259676692461,-0.2979527377721035,-0.6717411594559448,-0.5993611335754395,-0.371582526420102,0.22054392235688192
svm,mhggnn,-0.19754053551275116,-0.3552075922992485,-0.1021012035075033,-0.28629539258466963,-0.686363217349434,-0.6112321057116094,-0.37312334116086937,0.23106596081603878
dnn_vbll,ecfp4,-0.19348721522273438,-0.3565941070065354,-0.13999335007234057,-0.3357547545071804,-0.6440934885631908,-0.5746328873465759,-0.37409263378642627,0.20115349271402846
lgb,pdv,-0.192344701026225,-0.3485553182279423,-0.11292807995728746,-0.29901276339998034,-0.6885349386643334,-0.6090432317724231,-0.3750698388413653,0.2287349530243031
dnn_vbll,pdv,-0.19674689932303,-0.35873245813629845,-0.11520381393757738,-0.30016303640423403,-0.6875648721299993,-0.614045169136741,-0.37874270817798,0.2279863045107223
xgboost,mhggnn,-0.1906534626628413,-0.3524470069191672,-0.12435443973300431,-0.30894951085851646,-0.6869909128757438,-0.6094473026015542,-0.37880710594180456,0.22534198472666467
xgboost,pdv,-0.19035243464238719,-0.3492639380271988,-0.12186422881281911,-0.3079230506161247,-0.6926769643548936,-0.6164330173622479,-0.3797522723026119,0.22908826031627563
dnn_bnn_full,smiles,-0.20272490978240965,-0.3567619854753668,-0.12285566438328142,-0.33707750548015947,-0.6708452484824441,-0.593269860202616,-0.3805891956343796,0.214478400652819
lgb,mhggnn,-0.1944815991122593,-0.3552582840849045,-0.11977006036430643,-0.31152116862100654,-0.6996734686949714,-0.6227741251309669,-0.3839131176680692,0.23172256208037809
mlp_bnn_full,smiles,-0.19867893349040636,-0.3650299738753926,-0.11694073460318831,-0.336506368897178,-0.6795568921349265,-0.6107773771791748,-0.38458171336337776,0.22228804770348615
svm,continuous_pdv,-0.20190926087131084,-0.3642260428871069,-0.10723412559682255,-0.2954063104504824,-0.7092581909134179,-0.6306479539826058,-0.38478031411695773,0.23858779865610683
rf,continuous_pdv,-0.19575160214857468,-0.35859244478463015,-0.1156128925738835,-0.3040228116533356,-0.7101382983744733,-0.632186711751575,-0.38605079354774535,0.23767565810391678
dnn_bnn_full,ecfp4,-0.21154733679511334,-0.3664963351355659,-0.12257038210377551,-0.33960853062494833,-0.68350377462127,-0.6157826392036497,-0.3899181664140538,0.22071606270643637
dnn,pdv,-0.20037870741251745,-0.3626742390069095,-0.13327454436909072,-0.32672307816418733,-0.6965822165662592,-0.6287946623082113,-0.39140457463786255,0.2269883563112461
rf,pdv,-0.19604432792793103,-0.3640939315163248,-0.11651304966928272,-0.3125445791390491,-0.7289409787303882,-0.6418485130066895,-0.39333089666494425,0.24385506870515977
lgb,continuous_pdv,-0.20085830716103717,-0.3646409126287812,-0.12528794664255785,-0.32339751122615307,-0.7200741743727082,-0.6404413128548808,-0.39578336081435306,0.23765317342056289
dnn_vbll,continuous_pdv,-0.21688544476273083,-0.3797849039236704,-0.156240463256836,-0.35001129417708426,-0.6767989155921069,-0.6018884615464644,-0.39693491387648216,0.20648360466298873
dnn,mol2vec,-0.22733984039545402,-0.3475342367484112,-0.0975121802581853,-0.38808611485392164,-0.6819157749306933,-0.647422299143814,-0.3983017410550799,0.2301660281394237
xgboost,continuous_pdv,-0.20302409915008937,-0.3674731000505313,-0.13466062316990862,-0.32532039049899936,-0.7236123204833329,-0.6465893136732506,-0.40011330783768534,0.23722170232177975
mlp_bnn_full,ecfp4,-0.2172386420796616,-0.3880637768543127,-0.12850156859918072,-0.35065010677684433,-0.6983552520925348,-0.6277715940238078,-0.40176349007105694,0.22386071280958342
mlp,pdv,-0.2064068284815696,-0.36116503151980317,-0.1382343999063125,-0.344934772903269,-0.7166000989350405,-0.6509190031288333,-0.40304335581247136,0.23395737908956077
mlp_vbll,continuous_pdv,-0.2262786041606556,-0.38787906934516597,-0.13691758730194786,-0.3403217275335331,-0.7028206430902384,-0.6400166820396076,-0.4057057189118581,0.22459426109186334
dnn_bnn_full,continuous_pdv,-0.2123077351336527,-0.3783638592922326,-0.1492919605789763,-0.35204838833423574,-0.7151010488620912,-0.6449799369681966,-0.40868215486156423,0.22790434335473017
mlp_bnn_full,continuous_pdv,-0.21302072237236325,-0.38181345732224103,-0.14906136152720215,-0.35501007010238345,-0.7232302622361617,-0.6500786868008701,-0.4120357600602036,0.2308394635080586
dnn_bnn_full,morgan,-0.2211404602937024,-0.33231408764617615,-0.11810298236933624,-0.34738944764390134,-0.7793369622801636,-0.6908729595969423,-0.414859483305037,0.26305311271888243
dnn_bnn_full,sns,-0.22283472033462137,-0.38934557979757134,-0.125842944058505,-0.364197809045965,-0.7471914865753868,-0.6711110391400077,-0.4200872631586762,0.24477217008277116
mlp_bnn_full,sns,-0.22857642095498373,-0.4108478253537959,-0.14183557900515467,-0.3385771469636398,-0.7738174519755625,-0.6882767714033224,-0.4303218659427432,0.2518935667765124
dnn,continuous_pdv,-0.23113491420794005,-0.40732365948125226,-0.15794563916596496,-0.36807276221236795,-0.7659042561295056,-0.6848496101119301,-0.43587180688482685,0.24309801363186412
dnn,randomized_smiles,,-0.4209716210268104,-0.13266073013796953,-0.35089051023577195,-0.8463319140853304,,-0.4377136938714705,0.2988002246725557
mlp_bnn_full,morgan,-0.2256421872461685,-0.41571420166227546,-0.12457750159682648,-0.35600220428572754,-0.8161833947355097,-0.7251299439656614,-0.4438749055820282,0.274156523225051
dnn,ecfp4,-0.2412531068981296,-0.4263429695909674,-0.13052093874324447,-0.3591562845490196,-0.8291493470620627,-0.7461199368340801,-0.45542376394625067,0.27774776786215016
dnn,morgan,-0.2490467891548619,-0.43389331571983564,-0.14074280394448171,-0.3700389905409379,-0.8167862732001026,-0.7340456816283139,-0.4574256423647556,0.2674167807172329
dnn,mhggnn,-0.21161894093860284,-0.4706244354898279,-0.13958721269260752,-0.5033172981305557,-0.763705418326638,-0.6905819385942786,-0.46323920736208507,0.24967532054979277
mlp,morgan,-0.2528621250932867,-0.44459322582591654,-0.1438474167477001,-0.3851437015966934,-0.8367887751622635,-0.7573300813785708,-0.4700942209674051,0.27512287720882145
dnn,smiles,-0.23842749192257118,-0.4415021722966975,-0.14246021617542615,-0.3818309128284454,-0.875160593878139,-0.7689921173182399,-0.47472891740325324,0.2908302830493693
mlp,mhggnn,-0.22544959024949507,-0.4592563006010923,-0.19823787796376932,-0.474060021205382,-0.7968105500394648,-0.7199800798989305,-0.47896573665968906,0.24600989170844537
mlp,ecfp4,-0.2605673943354626,-0.46432413892312485,-0.13383739590644841,-0.3879944499092872,-0.9183117097074337,-0.8083924289905664,-0.4955712529620538,0.308283612779428
mlp,continuous_pdv,-0.2626945887551163,-0.48746727542443724,-0.16504490483890885,-0.42261123855908717,-0.8789227333935825,-0.786398104968525,-0.5005231409899429,0.28293445669136114
dnn,sns,-0.2552070451053706,-0.4650858754461462,-0.16174326430667532,-0.4314731993458488,-0.9065206180919301,-0.8090792005712335,-0.5048515338112007,0.2969524774730374
mlp,randomized_smiles,,-0.5249239684204864,-0.13615461792608707,-0.409388176058278,-1.011723055080934,,-0.5205474543714463,0.3657808371475833
mlp,sns,-0.288738030436063,-0.48890489394014536,-0.18408308679407287,-0.45253696116534153,-0.9905407461253082,-0.8734862713651224,-0.5463816649710088,0.32063238223922214
mlp,smiles,-0.3190908715580449,-0.5584089376709679,-0.15566763010891999,-0.458867172761397,-1.1241493804888292,-0.9787702533331784,-0.5991590409868895,0.3784665690307651
