split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,noise_pattern_pred,injected_noise,oof_folds_ok,dataset,model,rep
test,quantile,0.0,0,42,5.42,4.8364582848611954,1.700324319308672,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,43,4.77,4.83646409964253,1.7003243193069073,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,44,4.89,4.836460062696151,1.700324319308509,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,45,4.35,4.83636697000357,1.7003242366413471,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,46,8.02,4.836523307511577,1.7003243191296609,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,47,6.83,4.836460573227258,1.7003243193081183,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,48,6.32,4.8364775342381865,1.7003243192947,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,49,6.78,4.836476910544716,1.7003243192934743,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,50,8.08,4.836741624384851,1.7003243157045949,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,51,9.4,4.837617323120213,1.7003242500904625,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,52,6.14,4.8364658895682595,1.7003243193033397,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,53,5.72,4.83646681110354,1.7003243193057376,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,54,4.9,4.867743973789366,1.7002583951940997,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,55,4.77,4.836458328980685,1.7003243193083808,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,56,5.32,4.836458210518944,1.700324319308666,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,57,6.2,4.837453517318563,1.7003241835738259,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,58,5.92,4.845864681128194,1.7003065455379796,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,59,4.5,4.83760352436449,1.700324271128974,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,60,5.1,4.86242789932292,1.7001850268380203,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,61,4.9,4.836466222557935,1.7003243193061013,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,62,4.96,4.8364639552225634,1.700324319307038,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,63,4.89,4.8364639552225634,1.700324319307038,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,64,4.85,4.836464471273483,1.7003243193068611,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,65,4.8,4.83646409964253,1.7003243193069073,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,66,4.36,4.841581712973971,1.7003143978942854,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,67,4.7,4.8443309547188615,1.7002771260359246,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,68,5.85,4.836522050577697,1.7003243191287594,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,69,6.02,4.836483104390476,1.7003243192441586,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,70,7.6,4.854937674260165,1.700248187705245,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,71,7.47,4.840963260287784,1.700319808525725,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,72,7.05,4.83646084083101,1.7003243193084712,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,73,5.52,4.836863234332696,1.7003243132522696,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,74,7.34,4.8369839401824875,1.7001798959549101,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,75,7.54,4.836589297976541,1.7003159809401505,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,76,6.65,4.836654134068139,1.7003052646088583,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,77,5.96,4.836892622254095,1.7003243115691407,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,78,5.02,4.881219189979928,1.7000213369906674,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,79,5.255000000000001,4.844201727320252,1.7003218981059443,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,80,5.41,4.849976919341341,1.7003155646934422,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,81,6.49,4.856127998890528,1.7003080439686518,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,82,7.92,6.535004446094229,1.5659450610763403,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,83,9.26,6.202394734363086,1.6608046170751185,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,84,8.0,6.716568145809068,1.619005415337966,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,85,8.89,5.381091653866143,1.6885271397291446,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,86,5.38,4.836511015910676,1.7003243191849013,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,87,5.8,4.855276765207319,1.7002451529166749,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,88,5.81,4.847460763480738,1.7002784011875103,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,89,5.46,4.913006011637743,1.7000150026578502,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,90,5.6,4.964861218805736,1.697006554610186,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,91,6.28,4.863617999234988,1.6924757557585428,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,92,5.6,4.866566255138591,1.6999537294446712,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,93,5.09,4.83920778317792,1.7003234576547475,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,94,5.11,4.83557896378087,1.7001961170264333,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,95,5.14,5.473724414072249,1.6417458944819525,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,96,5.77,5.087407770713754,1.6378882079745734,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,97,4.37,4.836627209584328,1.700323467160044,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,98,4.96,4.837540392732539,1.700323935974748,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,99,4.64,5.127886193736201,1.662203593812039,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,100,6.05,5.484158054047413,1.5507549761508497,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,101,4.51,4.836464550162443,1.700324319306016,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,102,4.67,4.836503543921595,1.7003243191854076,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,103,5.74,4.836465670135577,1.700324319291908,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,104,5.3,4.838154840317135,1.7003242250167818,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,105,4.7,4.857780901183362,1.700082801002222,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,106,4.89,5.022684975525532,1.6917641365706404,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,107,5.74,4.900016754689933,1.6999543611686518,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,108,4.69,4.8073403242926664,1.6794726339324846,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,109,5.01,4.846640905027761,1.7003203712530834,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,110,5.74,4.836462945272759,1.7003243193073696,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,111,4.7,4.836921538696647,1.700314393789934,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,112,4.7,4.836507922333173,1.7003242956233267,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,113,4.7,4.839983235897547,1.700292543941132,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,114,4.7,4.838811876738592,1.7003170673168675,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,115,4.7,4.937488891649451,1.684727341045557,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,116,4.9,4.923802154338517,1.687714161607449,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,117,4.9,4.942775452412969,1.6886616156819494,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,118,4.7,4.953310217030986,1.6765967911514001,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,119,5.89,4.83646194359874,1.7003243193080344,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,120,4.9,4.937488891649451,1.684727341045557,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,121,4.9,4.923802154338517,1.687714161607449,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,122,4.7,4.937488891649451,1.684727341045557,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,123,4.7,4.923802154338517,1.687714161607449,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,124,5.5,4.865228057557359,1.6995117455628244,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,125,4.96,5.228092470083662,1.1445371039880832,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,126,6.38,4.89631347526122,1.6987629891547216,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,127,7.82,4.836467200835586,1.7003243193059319,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,128,6.01,4.836459860985072,1.7003243193085358,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,129,6.52,5.319664291255051,1.6651865170219335,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,130,4.54,4.838032058059497,1.7003204572453676,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,131,5.96,4.843486360635647,1.7003191802961293,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,132,6.4,4.836611769511368,1.7003243174812495,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,133,5.82,4.8365813402435816,1.7003243165528286,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,134,5.0,4.836687498404724,1.7003243076262717,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,135,6.32,5.376720593046473,1.6399265136684766,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,136,6.06,4.853615947621157,1.7002536469239868,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,137,5.52,5.5964070599783104,1.5455765874249363,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,138,6.21,5.367674631573853,1.6393421575861933,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,139,5.16,5.683777907605872,1.4828397789565055,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,140,5.21,4.863968145446123,1.699841697855708,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,141,8.23,4.871137590993905,1.700225765313327,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,142,6.36,4.866806117227078,1.7001210129185549,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,143,5.3,4.840732780319495,1.7003202742218284,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,144,6.14,4.8365907946271856,1.7003243154595962,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,145,5.23,4.882184659232553,1.7002029324459313,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,146,6.15,4.857904463076882,1.7001664015214477,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,147,5.38,4.836761507299505,1.7003243018450198,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,148,6.75,4.836458329987359,1.7003243193086772,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,149,5.66,4.882001646035965,1.6997813457244886,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,150,5.3,5.408546323890463,1.5076304900814528,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,151,5.18,5.511380213029449,1.5273122335898626,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,152,5.7,4.837744273499054,1.700322896808795,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,153,5.4,4.843592296893555,1.7003201972239008,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,154,6.1,4.838137557802726,1.7003239982793166,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,155,6.3,5.257598064225034,1.681523388941702,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,156,5.5,4.845563649056808,1.7003182418252294,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,157,5.4,4.8777009176683395,1.700167809871032,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,158,5.8,4.860175155833026,1.7002613645048794,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,159,6.0,4.862331959507285,1.7002584461965047,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,160,5.4,4.855210480066563,1.7002529567013198,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,161,5.6,4.856117011963454,1.700238686486857,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,162,4.5,5.120321222505459,1.6836378257014681,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,163,6.0,4.910461314911007,1.699968649957201,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,164,7.6,4.958988375149925,1.6994017815070372,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,165,6.4,4.839844012068349,1.700320065411048,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,166,5.8,4.843916396736085,1.7003208220509685,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,167,6.05,4.836504522020819,1.7003243192013182,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,168,5.29,4.836859475762566,1.7003242553850204,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,169,7.720000000000001,4.836519653511885,1.7003243188092831,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,170,5.39,4.956001045460233,1.6891563572819106,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,171,5.19,5.033907513016166,1.6899907795839249,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,172,5.06,4.982699234047902,1.6850833516616575,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,173,6.4,4.990790993165984,1.698902104281708,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,174,4.7,4.9950435616901725,1.6743975887224047,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,175,4.7,5.0302546529337455,1.6611732041379892,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,176,5.93,4.838301621156625,1.700324185071601,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
