split,strategy,sigma,fold,uncertainty,noise_scale,noise_pattern,injected_noise,oof_folds_ok
test,outlier,0.0,2,0.5,0.1,0.1,0.0,3
test,outlier,0.0,2,0.5,2.0,2.0,0.0,3
test,outlier,0.0,2,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,3,0.5,2.0,2.0,0.0,3
test,outlier,0.0,3,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,0.0,4,0.5,2.0,2.0,0.0,3
test,outlier,0.0,4,0.5,0.1,0.1,0.0,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,0,0.5,2.0,2.0,0.3,3
test,outlier,1.0,0,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,1,0.5,2.0,2.0,0.3,3
test,outlier,1.0,1,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,2,0.5,2.0,2.0,0.3,3
test,outlier,1.0,2,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,3,0.5,2.0,2.0,0.3,3
test,outlier,1.0,3,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
test,outlier,1.0,4,0.5,2.0,2.0,0.3,3
test,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,0,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,0,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,1,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,1,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,2,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,2,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,3,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,3,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,0.0,4,0.5,2.0,2.0,0.0,3
train_oof,outlier,0.0,4,0.5,0.1,0.1,0.0,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,0,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,0,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,1,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,1,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,2,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,2,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,3,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,3,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
train_oof,outlier,1.0,4,0.5,2.0,2.0,0.3,3
train_oof,outlier,1.0,4,0.5,0.1,0.1,0.3,3
