split,strategy,sigma,fold,uncertainty,model,task_model,task_dataset,task_rep,task_strategy
train_oof,outlier,0.1,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.1,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.2,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.2,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.2,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.2,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.2,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.3,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.3,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.3,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.3,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.3,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.4,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.4,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.4,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.4,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.4,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.5,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.5,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.5,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.5,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.5,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.6,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.6,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.6,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.6,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.6,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.7,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.7,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.7,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.7,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.7,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.8,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.8,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.8,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.8,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.8,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.9,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.9,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.9,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.9,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,0.9,4,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,1.0,0,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,1.0,1,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,1.0,2,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,1.0,3,0.3,GP,gp,caco2,pdv,outlier
train_oof,outlier,1.0,4,0.3,GP,gp,caco2,pdv,outlier
test,valprop,0.0,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.0,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.0,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.0,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.0,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.1,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.1,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.1,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.1,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.1,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.2,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.2,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.2,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.2,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.2,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.3,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.3,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.3,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.3,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.3,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.4,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.4,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.4,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.4,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.4,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.5,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.5,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.5,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.5,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.5,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.6,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.6,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.6,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.6,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.6,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.7,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.7,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.7,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.7,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.7,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.8,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.8,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.8,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.8,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.8,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.9,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.9,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.9,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.9,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,0.9,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,1.0,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,1.0,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,1.0,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,1.0,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,valprop,1.0,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.0,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.0,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.0,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.0,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.0,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.1,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.1,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.1,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.1,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.1,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.2,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.2,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.2,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.2,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.2,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.3,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.3,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.3,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.3,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.3,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.4,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.4,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.4,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.4,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.4,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.5,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.5,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.5,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.5,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.5,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.6,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.6,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.6,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.6,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.6,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.7,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.7,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.7,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.7,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.7,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.8,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.8,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.8,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.8,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.8,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.9,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.9,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.9,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.9,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,0.9,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,1.0,0,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,1.0,1,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,1.0,2,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,1.0,3,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
train_oof,valprop,1.0,4,0.3,MLP-VBLL-Full,mlp_vbll_full,herg_ki,mhggnnpretrained,valprop
test,legacy,0.0,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.0,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.0,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.0,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.0,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.1,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.1,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.1,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.1,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.1,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.2,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.2,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.2,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.2,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.2,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.3,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.3,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.3,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.3,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.3,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.4,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.4,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.4,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.4,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.4,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.5,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.5,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.5,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.5,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.5,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.6,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.6,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.6,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.6,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.6,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.7,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.7,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.7,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.7,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.7,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.8,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.8,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.8,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.8,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.8,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.9,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.9,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.9,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.9,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,0.9,4,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,1.0,0,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,1.0,1,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,1.0,2,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,1.0,3,0.3,QRF,qrf,logd,ecfp4,legacy
test,legacy,1.0,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.0,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.1,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.1,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.1,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.1,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.1,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.2,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.2,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.2,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.2,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.2,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.3,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.3,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.3,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.3,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.3,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.4,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.4,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.4,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.4,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.4,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.5,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.5,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.5,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.5,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.5,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.6,4,0.3,QRF,qrf,logd,ecfp4,legacy
