pyg_position,gdb9_sdf_row_zero_based,qm9_name,smiles_from_pyg,listed_as_uncharacterised,rdkit_failure
3438,3494,gdb_3495,[H]C#CC1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
3442,3498,gdb_3499,[H]C1([H])C23([H])OC12([H])C3([H])C#N,0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
3445,3501,gdb_3502,[H]C(=O)C1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
3449,3505,gdb_3506,[H]C([H])([H])C([H])([H])C1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
3451,3507,gdb_3508,[H]C([H])([H])OC1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
3453,3509,gdb_3510,[H]OC([H])([H])C1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
3465,3521,gdb_3522,[H]C1([H])C([H])([H])C12C13([H])OC21([H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
3466,3522,gdb_3523,[H]N1C([H])([H])C12C13([H])OC21([H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
3472,3528,gdb_3529,[H]C([H])([H])[C@]1([H])[C@@]2([H])C34([H])OC23([H])[C@]14[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
3475,3531,gdb_3532,[H]C([H])([H])[NH+]1[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
3478,3534,gdb_3535,[H]O[C@]1([H])[C@@]2([H])C34([H])OC23([H])[C@]14[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
3481,3537,gdb_3538,[H]C1=C([H])[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
3484,3540,gdb_3541,[H]C1([H])C([H])([H])[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
3485,3541,gdb_3542,[H]C1([H])O[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
6370,6566,gdb_6567,[H]C([H])([H])C1([H])C23(C([H])([H])[H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
6396,6592,gdb_6593,[H]C#CC123OC1(C([H])([H])[H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
6397,6593,gdb_6594,[H]C([H])([H])C123OC1(C#N)(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
6401,6597,gdb_6598,[H]C(=O)C123OC1(C([H])([H])[H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
6404,6600,gdb_6601,[H]OC([H])([H])C123OC1(C([H])([H])[H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
6406,6602,gdb_6603,[H]C([H])([H])C([H])([H])C123OC1(C([H])([H])[H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
7392,7658,gdb_7659,[H]OC1([H])C23([H])OC12([H])C3(C([H])([H])[H])C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
7398,7664,gdb_7665,[H]C([H])([H])C1([H])C23([H])OC12([H])C3(C([H])([H])[H])C([H])([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
7399,7665,gdb_7666,[H]O[C@]1(C([H])([H])[H])C23([H])OC12([H])[C@@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
7777,8045,gdb_8046,[H]C#C[C@]1([H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
7778,8046,gdb_8047,[H]C([H])([H])C123OC1([H])(C2([H])[H])[C@@]3([H])C#N,0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
7788,8056,gdb_8057,[H]C(=O)[C@]1([H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
7793,8061,gdb_8062,[H]OC([H])([H])[C@]1([H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
7796,8064,gdb_8065,[H]C([H])([H])C([H])([H])[C@@]1([H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
8068,8339,gdb_8340,[H]C#CC([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
8072,8343,gdb_8344,[H]C([H])(C#N)C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
8077,8348,gdb_8349,[H]C(=O)C([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
8084,8355,gdb_8356,[H]C([H])([H])C#CC123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
8087,8358,gdb_8359,[H]C([H])([H])C([H])([H])C([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
8092,8363,gdb_8364,[H]C([H])([H])OC([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
8095,8366,gdb_8367,[H]OC([H])([H])C([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
8121,8392,gdb_8393,[H]C([H])([H])C(=O)C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
8124,8395,gdb_8396,[H]N([H])C(=O)C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
8128,8399,gdb_8400,[H]C([H])([H])C([H])(C([H])([H])[H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
8131,8402,gdb_8403,[H]O[C@]([H])(C([H])([H])[H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
8219,8490,gdb_8491,[H]C([H])([H])C1(C([H])([H])[H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
8223,8494,gdb_8495,[H]O[C@@]1(C([H])([H])[H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
8228,8499,gdb_8500,[H]C([H])([H])[C@]12C([H])([H])[C@]3(C([H])([H])[H])C14([H])OC234[H],0,"Explicit valence for atom # 13 C, 5, is greater than permitted"
8231,8502,gdb_8503,[H]O[C@]12C([H])([H])[C@]3(C([H])([H])[H])C14([H])OC234[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
8233,8504,gdb_8505,[H]N1[C@]2(C([H])([H])[H])C34([H])OC23([H])[C@@]14C([H])([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
8234,8505,gdb_8506,[H]C([H])([H])C123OC14(C([H])([H])[H])[C@]2([H])C([H])([H])[C@@]34[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
8239,8510,gdb_8511,[H]O[C@]12C([H])([H])[C@]3(O[H])C14([H])OC234[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
8253,8524,gdb_8525,[H]C([H])([H])C1(C([H])([H])[H])[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
8256,8527,gdb_8528,[H]O[C@]1(C([H])([H])[H])[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
8259,8530,gdb_8531,[H]O[C@]1([H])[C@@]2([H])C34([H])OC23(C([H])([H])[H])[C@]14[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
8263,8534,gdb_8535,[H]C([H])([H])[C@@]1([H])[C@@]2([H])C34([H])OC23(C([H])([H])[H])[C@]14[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
8315,8586,gdb_8587,[H]C1([H])C(=O)[C@]2([H])C34([H])OC123C4([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
8323,8594,gdb_8595,[H]C([H])([H])[C@@]1([H])C([H])([H])C234OC2([H])(C3([H])[H])[C@@]14[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
8328,8599,gdb_8600,[H]C([H])([H])[N@@H+]1C([H])([H])C234OC2([H])(C3([H])[H])[C@@]14[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
8330,8601,gdb_8602,[H]O[C@@]1([H])C([H])([H])C234OC2([H])(C3([H])[H])[C@@]14[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
10592,10882,gdb_10883,[H]C([H])([H])[C@@]1([H])C23([H])OC12(C([H])([H])[H])[C@@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
10593,10883,gdb_10884,[H]O[C@@]1([H])C23([H])OC12(C([H])([H])[H])[C@@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
11344,11638,gdb_11639,[H]C#CC123OC1([H])(C2([H])[H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
11345,11639,gdb_11640,[H]C([H])([H])[C@@]1([H])C23([H])OC12(C#N)C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
11351,11645,gdb_11646,[H]N([H])[C@@]1([H])C23([H])OC12(C#N)C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
11357,11651,gdb_11652,[H]O[C@@]1([H])C23([H])OC12(C#N)C3([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
11359,11653,gdb_11654,[H]C(=O)C123OC1([H])(C2([H])[H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
11364,11658,gdb_11659,[H]O[C@@]1([H])C23([H])OC12(C([H])=O)C3([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
11373,11667,gdb_11668,[H]OC([H])([H])C123OC1([H])(C2([H])[H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
11377,11671,gdb_11672,[H]C([H])([H])C([H])([H])C123OC1([H])(C2([H])[H])[C@@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
13861,14182,gdb_14183,[H]C([H])([H])[C@@]12C([H])([H])[C@@]3([H])C14([H])OC234C([H])([H])[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
13865,14186,gdb_14187,[H]N1[C@@]2([H])C34([H])OC23(C([H])([H])[H])[C@]14C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
13866,14187,gdb_14188,[H]O[C@@]12C([H])([H])[C@@]3([H])C14([H])OC324C([H])([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
14035,14356,gdb_14357,[H]C1=C([H])C234OC2([H])(C3([H])[H])[C@]4([H])C1([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
14038,14359,gdb_14360,[H]C1=C([H])[C@@]2([H])C34([H])OC23(C1([H])[H])C4([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14045,14366,gdb_14367,[H]C1([H])C([H])([H])[C@@]2([H])C34([H])OC23(C1([H])[H])C4([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
14046,14367,gdb_14368,[H]C1([H])O[C@@]2([H])C34([H])OC23(C1([H])[H])C4([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14047,14368,gdb_14369,[H]C1([H])OC([H])([H])C234OC2([H])(C3([H])[H])[C@]14[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
14127,14448,gdb_14449,[H]C1=C([H])[C@]2([H])C34([H])OC23(C([H])([H])[H])[C@@]14[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14133,14454,gdb_14455,[H]C1([H])C([H])([H])[C@]2([H])C34([H])OC23(C([H])([H])[H])[C@@]14[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
14134,14455,gdb_14456,[H]C1([H])O[C@]2([H])C34([H])OC23(C([H])([H])[H])[C@@]14[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14168,14489,gdb_14490,[H]C#CC1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
14172,14493,gdb_14494,[H]C([H])([H])C1(C#N)C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
14176,14497,gdb_14498,[H]N([H])C1(C#N)C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14179,14500,gdb_14501,[H]C#CC1(O[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14182,14503,gdb_14504,[H]OC1(C#N)C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
14184,14505,gdb_14506,[H]C(=O)C1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
14188,14509,gdb_14510,[H]OC1(C([H])=O)C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
14190,14511,gdb_14512,[H]OC([H])([H])C1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
14192,14513,gdb_14514,[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 12 C, 5, is greater than permitted"
14194,14515,gdb_14516,[H]OC1(C([H])([H])C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
14196,14517,gdb_14518,[H]C([H])([H])OC1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
14199,14520,gdb_14521,[H]OC([H])([H])C1(O[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
16105,16426,gdb_16427,[H]O[C@@]1([H])[C@]2([H])C34([H])OC23([H])[C@@]14C([H])([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
16109,16430,gdb_16431,[H]C([H])([H])[C@@]1([H])[C@]2([H])C34([H])OC23([H])[C@@]14C([H])([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
16110,16431,gdb_16432,[H]O[C@]12[C@@]([H])(C([H])([H])[H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
16115,16436,gdb_16437,[H]C([H])([H])[N@@H+]1[C@]2([H])C34([H])OC23([H])[C@@]14C([H])([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
16118,16439,gdb_16440,[H]O[C@@]1([H])[C@]2([H])C34([H])OC23([H])[C@@]14O[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
16134,16455,gdb_16456,[H]C1=C([H])[C@]2(C([H])([H])[H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
16137,16458,gdb_16459,[H]O[C@]12C([H])=C([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
16139,16460,gdb_16461,[H]C1([H])C([H])([H])[C@]2(C([H])([H])[H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
16143,16464,gdb_16465,[H]C([H])([H])[C@]12C([H])([H])O[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
16145,16466,gdb_16467,[H]C1([H])O[C@]2(C([H])([H])[H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
16147,16468,gdb_16469,[H]O[C@]12C([H])([H])C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
16702,17023,gdb_17024,[H]C#C[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16703,17024,gdb_17025,[H]C([H])([H])[C@]1([H])C23([H])OC12([H])[C@]3([H])C#N,0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
16710,17031,gdb_17032,[H]C#C[C@]1([H])C23([H])OC12([H])[C@]3([H])O[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16715,17036,gdb_17037,[H]C(=O)[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16720,17041,gdb_17042,[H]O[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])=O,0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
16733,17054,gdb_17055,[H]OC([H])([H])[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
16736,17057,gdb_17058,[H]C([H])([H])C([H])([H])[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
16737,17058,gdb_17059,[H]O[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
16743,17064,gdb_17065,[H]C([H])([H])O[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
16747,17068,gdb_17069,[H]OC([H])([H])[C@]1([H])C23([H])OC12([H])[C@]3([H])O[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
16820,17141,gdb_17142,[H]C#C[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
16823,17144,gdb_17145,[H]C#C[C@]12N([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
16824,17145,gdb_17146,[H]C#CC123OC14([H])[C@]2([H])C([H])([H])[C@]43[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
16830,17151,gdb_17152,[H]C1([H])[C@]2([H])C34([H])OC23([H])[C@@]14C#N,0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16834,17155,gdb_17156,[H]N1[C@]2([H])C34([H])OC23([H])[C@@]14C#N,0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
16835,17156,gdb_17157,[H]C1([H])[C@@]2([H])C34([H])OC23(C#N)[C@]14[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16836,17157,gdb_17158,[H]N1[C@@]2([H])C34([H])OC23(C#N)[C@]14[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
16840,17161,gdb_17162,[H]C(=O)[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
16843,17164,gdb_17165,[H]C(=O)[C@]12N([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
16844,17165,gdb_17166,[H]C(=O)C123OC14([H])[C@]2([H])C([H])([H])[C@]43[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
16845,17166,gdb_17167,[H]C(=O)C123OC14([H])[C@]2([H])N([H])[C@]43[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
16849,17170,gdb_17171,[H]C([H])([H])C([H])([H])[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 13 C, 5, is greater than permitted"
16852,17173,gdb_17174,[H]N1[C@]2([H])C34([H])OC23([H])[C@@]14C([H])([H])C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
16853,17174,gdb_17175,[H]C([H])([H])C([H])([H])C123OC14([H])[C@]2([H])C([H])([H])[C@]43[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
16854,17175,gdb_17176,[H]N1[C@@]2([H])C34([H])OC23(C([H])([H])C([H])([H])[H])[C@]14[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
16857,17178,gdb_17179,[H]C([H])([H])O[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
16860,17181,gdb_17182,[H]OC([H])([H])[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 11 C, 5, is greater than permitted"
16863,17184,gdb_17185,[H]OC([H])([H])[C@]12N([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
16864,17185,gdb_17186,[H]OC([H])([H])C123OC14([H])[C@]2([H])C([H])([H])[C@]43[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16865,17186,gdb_17187,[H]OC([H])([H])C123OC14([H])[C@]2([H])N([H])[C@]43[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
16869,17190,gdb_17191,[H]C([H])([H])C1([H])C23([H])OC12([H])C31C([H])([H])C1([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
16870,17191,gdb_17192,[H]N1C([H])([H])[C@]12C13([H])OC21([H])[C@@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
16938,17259,gdb_17260,[H]C1([H])C([H])([H])C12C13([H])OC21(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
17357,17687,gdb_17688,[H]C1([H])C([H])([H])C1([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
17361,17691,gdb_17692,[H]N1C([H])([H])[C@]1([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
17363,17693,gdb_17694,[H]C1([H])O[C@@]1([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
17383,17713,gdb_17714,[H]C([H])([H])[NH+]1C23([H])[C@]4([H])C(=O)[C@@]2([H])C143[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
17389,17719,gdb_17720,[H]C1=C([H])C234OC25([H])[C@]3([H])[C@]1([H])[C@]54[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
17396,17726,gdb_17727,[H]C1([H])C([H])([H])C234OC25([H])[C@]3([H])[C@]1([H])[C@]54[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
17397,17727,gdb_17728,[H]C1([H])[N@@H+]2[C@@]3([H])C45([H])OC34(C1([H])[H])[C@]25[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
17401,17731,gdb_17732,[H]C1([H])O[C@]2([H])[C@@]3([H])C45([H])OC134[C@]25[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
17405,17735,gdb_17736,[H]C1([H])C([H])([H])C12[C@]1([H])C34([H])OC13([H])[C@@]24[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
17407,17737,gdb_17738,[H]N1C([H])([H])[C@]12[C@@]1([H])C34([H])OC13([H])[C@]24[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
